number,name,goals,two_min,card,team,date,game_id,league_id,league_name
7,Tom Theophile,0,0,None,TuS Esingen,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
8,Jannick Rechter,3,2,None,TuS Esingen,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
14,Jan Niklas Richters,6,1,None,TuS Esingen,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
19,Matti Theophile,2,0,None,TuS Esingen,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
20,Max Lemke,4,1,None,TuS Esingen,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
22,Tino Kohrt,6,0,None,TuS Esingen,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
25,Finn Ruhnau,0,0,None,TuS Esingen,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
26,Moritz Machay,0,1,yellow,TuS Esingen,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
31,Timo Okun,3,1,None,TuS Esingen,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
34,Max Ruhnau,0,0,None,TuS Esingen,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
35,Soennick Nehls,2,0,None,TuS Esingen,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
40,Benjamin Boje,0,0,None,TuS Esingen,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
50,Tim Niklas Heinkel,0,0,None,TuS Esingen,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
71,Yannick Hellmich,3,0,yellow,TuS Esingen,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
5,Jan Rabe,2,1,yellow,HT Norderstedt,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
10,Felix Henka,6,0,None,HT Norderstedt,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
12,Tim Escher,0,0,None,HT Norderstedt,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
16,Robin Noack,0,0,None,HT Norderstedt,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
17,Frederik Gadeberg,0,0,yellow,HT Norderstedt,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
18,Max Turkat,5,0,None,HT Norderstedt,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
22,Jarik Teegen,4,1,None,HT Norderstedt,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
24,Pascal Kühl,3,0,None,HT Norderstedt,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
25,Tom Minners,4,0,None,HT Norderstedt,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
30,Hannes Haas,1,0,None,HT Norderstedt,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
34,Linus de la Motte,8,0,None,HT Norderstedt,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
43,Jan-Owe Hinsch,0,0,None,HT Norderstedt,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
57,Finn Ole Maciejewski,1,1,None,HT Norderstedt,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
85,Willow Nowacki,3,2,None,HT Norderstedt,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
1,Tobias Prieß,0,0,None,TV Fischbek,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
2,Janik Rust,2,0,None,TV Fischbek,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
3,N.N. N.N.,0,0,None,TV Fischbek,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
4,Tom Steinberg,6,0,None,TV Fischbek,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
5,Tim Kappel,0,0,None,TV Fischbek,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
6,Aleksej Kiselev,0,1,None,TV Fischbek,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
9,Lukas-Maximilian Jensen,1,0,None,TV Fischbek,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
11,Fabrice Bruce,3,0,None,TV Fischbek,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
12,Maurice Mensing,0,0,None,TV Fischbek,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
13,Elias Wani Martens,4,0,None,TV Fischbek,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
15,Jonas Kappel,1,0,yellow,TV Fischbek,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
19,Marek Struß,3,0,None,TV Fischbek,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
22,Felix Zielke,2,0,None,TV Fischbek,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
23,Jan Eric Hennings,3,1,None,TV Fischbek,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
1,Lasse-Jonas Thies,0,0,None,HSG Elbvororte,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
2,Jan-Niklas Böge,0,0,None,HSG Elbvororte,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
7,Bjarne Jessen,6,1,None,HSG Elbvororte,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
11,Danny Bohlken,1,0,yellow,HSG Elbvororte,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
17,Jan Niclas Mühlbrandt,0,1,None,HSG Elbvororte,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
18,Maris Kilian von Kuenheim,3,0,None,HSG Elbvororte,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
19,Fabian Schulte-Berthold,5,2,None,HSG Elbvororte,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
25,Nikolai Swiedelsky,1,0,None,HSG Elbvororte,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
29,Hans Gustav Giest,5,1,None,HSG Elbvororte,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
47,Michael Kühn,5,1,yellow,HSG Elbvororte,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
55,Bahne Witschel,2,0,None,HSG Elbvororte,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
90,Florian Neukirchen,0,0,None,HSG Elbvororte,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
99,Justin Dau,0,0,None,HSG Elbvororte,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
1,Malte Iversen,0,0,None,Rellinger TV,2024-09-14 20:00:00,handball4all.hamburg.7840006,handball4all.hamburg.126991,Männer Oberliga (100)
3,Jan Böttcher,3,1,None,Rellinger TV,2024-09-14 20:00:00,handball4all.hamburg.7840006,handball4all.hamburg.126991,Männer Oberliga (100)
4,Niklas Romahn,5,0,None,Rellinger TV,2024-09-14 20:00:00,handball4all.hamburg.7840006,handball4all.hamburg.126991,Männer Oberliga (100)
6,Hendrik Janßen,1,0,None,Rellinger TV,2024-09-14 20:00:00,handball4all.hamburg.7840006,handball4all.hamburg.126991,Männer Oberliga (100)
7,Till Sonnenberg,3,0,None,Rellinger TV,2024-09-14 20:00:00,handball4all.hamburg.7840006,handball4all.hamburg.126991,Männer Oberliga (100)
8,Kevin Paulsen,5,1,yellow,Rellinger TV,2024-09-14 20:00:00,handball4all.hamburg.7840006,handball4all.hamburg.126991,Männer Oberliga (100)
9,Alexander Dohrmann,1,0,None,Rellinger TV,2024-09-14 20:00:00,handball4all.hamburg.7840006,handball4all.hamburg.126991,Männer Oberliga (100)
14,Daniel Rechter,2,0,None,Rellinger TV,2024-09-14 20:00:00,handball4all.hamburg.7840006,handball4all.hamburg.126991,Männer Oberliga (100)
15,Fabian Furtner,7,0,None,Rellinger TV,2024-09-14 20:00:00,handball4all.hamburg.7840006,handball4all.hamburg.126991,Männer Oberliga (100)
16,Marco Simonsen,0,0,None,Rellinger TV,2024-09-14 20:00:00,handball4all.hamburg.7840006,handball4all.hamburg.126991,Männer Oberliga (100)
17,Jonas Hoffmann,2,0,None,Rellinger TV,2024-09-14 20:00:00,handball4all.hamburg.7840006,handball4all.hamburg.126991,Männer Oberliga (100)
19,Ben Arthur Arend,0,0,None,Rellinger TV,2024-09-14 20:00:00,handball4all.hamburg.7840006,handball4all.hamburg.126991,Männer Oberliga (100)
21,Niklas Theege,3,0,None,Rellinger TV,2024-09-14 20:00:00,handball4all.hamburg.7840006,handball4all.hamburg.126991,Männer Oberliga (100)
29,Kevin Hertel,0,0,yellow,Rellinger TV,2024-09-14 20:00:00,handball4all.hamburg.7840006,handball4all.hamburg.126991,Männer Oberliga (100)
1,Florian Knust,0,0,None,TSV Ellerbek 2,2024-09-14 20:00:00,handball4all.hamburg.7840006,handball4all.hamburg.126991,Männer Oberliga (100)
6,Niklas Jeenicke,2,0,None,TSV Ellerbek 2,2024-09-14 20:00:00,handball4all.hamburg.7840006,handball4all.hamburg.126991,Männer Oberliga (100)
7,Mats Ove Quardfasel,2,0,None,TSV Ellerbek 2,2024-09-14 20:00:00,handball4all.hamburg.7840006,handball4all.hamburg.126991,Männer Oberliga (100)
11,Georg Butenschön,2,0,None,TSV Ellerbek 2,2024-09-14 20:00:00,handball4all.hamburg.7840006,handball4all.hamburg.126991,Männer Oberliga (100)
14,Finn Lasse Finck,3,1,None,TSV Ellerbek 2,2024-09-14 20:00:00,handball4all.hamburg.7840006,handball4all.hamburg.126991,Männer Oberliga (100)
17,Marcel Kehr,3,0,None,TSV Ellerbek 2,2024-09-14 20:00:00,handball4all.hamburg.7840006,handball4all.hamburg.126991,Männer Oberliga (100)
21,Marcos Luarte Correas,0,0,None,TSV Ellerbek 2,2024-09-14 20:00:00,handball4all.hamburg.7840006,handball4all.hamburg.126991,Männer Oberliga (100)
23,Daniel Römer,5,1,yellow,TSV Ellerbek 2,2024-09-14 20:00:00,handball4all.hamburg.7840006,handball4all.hamburg.126991,Männer Oberliga (100)
25,Alexander Horstmann,0,0,None,TSV Ellerbek 2,2024-09-14 20:00:00,handball4all.hamburg.7840006,handball4all.hamburg.126991,Männer Oberliga (100)
32,Finn Julian Stüber,1,0,None,TSV Ellerbek 2,2024-09-14 20:00:00,handball4all.hamburg.7840006,handball4all.hamburg.126991,Männer Oberliga (100)
55,Tim Blunck,2,1,yellow,TSV Ellerbek 2,2024-09-14 20:00:00,handball4all.hamburg.7840006,handball4all.hamburg.126991,Männer Oberliga (100)
76,Jan Leon Petersohn,2,0,None,TSV Ellerbek 2,2024-09-14 20:00:00,handball4all.hamburg.7840006,handball4all.hamburg.126991,Männer Oberliga (100)
77,Lasse Michael Most,2,0,None,TSV Ellerbek 2,2024-09-14 20:00:00,handball4all.hamburg.7840006,handball4all.hamburg.126991,Männer Oberliga (100)
1,Hendrik Janert,0,0,None,TSV Uetersen,2024-09-15 17:00:00,handball4all.hamburg.7840021,handball4all.hamburg.126991,Männer Oberliga (100)
3,Lars Zwillus,1,1,None,TSV Uetersen,2024-09-15 17:00:00,handball4all.hamburg.7840021,handball4all.hamburg.126991,Männer Oberliga (100)
4,Jakob Cornelius Munzke,1,1,None,TSV Uetersen,2024-09-15 17:00:00,handball4all.hamburg.7840021,handball4all.hamburg.126991,Männer Oberliga (100)
6,Torben Schülbe,5,1,None,TSV Uetersen,2024-09-15 17:00:00,handball4all.hamburg.7840021,handball4all.hamburg.126991,Männer Oberliga (100)
7,Christoph Heinzel,4,0,yellow,TSV Uetersen,2024-09-15 17:00:00,handball4all.hamburg.7840021,handball4all.hamburg.126991,Männer Oberliga (100)
8,Lasse Timm,5,0,None,TSV Uetersen,2024-09-15 17:00:00,handball4all.hamburg.7840021,handball4all.hamburg.126991,Männer Oberliga (100)
9,David Schröder,9,0,None,TSV Uetersen,2024-09-15 17:00:00,handball4all.hamburg.7840021,handball4all.hamburg.126991,Männer Oberliga (100)
10,Jannik Lohse,1,0,None,TSV Uetersen,2024-09-15 17:00:00,handball4all.hamburg.7840021,handball4all.hamburg.126991,Männer Oberliga (100)
12,Peter Bergmann,0,0,None,TSV Uetersen,2024-09-15 17:00:00,handball4all.hamburg.7840021,handball4all.hamburg.126991,Männer Oberliga (100)
13,Jan Neumann,7,0,None,TSV Uetersen,2024-09-15 17:00:00,handball4all.hamburg.7840021,handball4all.hamburg.126991,Männer Oberliga (100)
20,Yannik Voß,2,0,None,TSV Uetersen,2024-09-15 17:00:00,handball4all.hamburg.7840021,handball4all.hamburg.126991,Männer Oberliga (100)
77,Malte Hell,0,0,None,TSV Uetersen,2024-09-15 17:00:00,handball4all.hamburg.7840021,handball4all.hamburg.126991,Männer Oberliga (100)
3,Julius Jäger,3,0,None,HG Hamburg-Barmbek 2,2024-09-15 17:00:00,handball4all.hamburg.7840021,handball4all.hamburg.126991,Männer Oberliga (100)
5,Valentin Naglik,0,0,None,HG Hamburg-Barmbek 2,2024-09-15 17:00:00,handball4all.hamburg.7840021,handball4all.hamburg.126991,Männer Oberliga (100)
6,Artur Bensel,0,1,None,HG Hamburg-Barmbek 2,2024-09-15 17:00:00,handball4all.hamburg.7840021,handball4all.hamburg.126991,Männer Oberliga (100)
7,N.N. N.N.,2,0,None,HG Hamburg-Barmbek 2,2024-09-15 17:00:00,handball4all.hamburg.7840021,handball4all.hamburg.126991,Männer Oberliga (100)
9,Heinz Luckhardt,6,0,None,HG Hamburg-Barmbek 2,2024-09-15 17:00:00,handball4all.hamburg.7840021,handball4all.hamburg.126991,Männer Oberliga (100)
12,Sven Person,0,0,None,HG Hamburg-Barmbek 2,2024-09-15 17:00:00,handball4all.hamburg.7840021,handball4all.hamburg.126991,Männer Oberliga (100)
15,Noah Sprengkamp,2,1,None,HG Hamburg-Barmbek 2,2024-09-15 17:00:00,handball4all.hamburg.7840021,handball4all.hamburg.126991,Männer Oberliga (100)
17,Gunar Heinrich Rahn-Marx,5,1,yellow,HG Hamburg-Barmbek 2,2024-09-15 17:00:00,handball4all.hamburg.7840021,handball4all.hamburg.126991,Männer Oberliga (100)
18,Leon Loew,0,0,None,HG Hamburg-Barmbek 2,2024-09-15 17:00:00,handball4all.hamburg.7840021,handball4all.hamburg.126991,Männer Oberliga (100)
19,Florian Horwege,0,0,None,HG Hamburg-Barmbek 2,2024-09-15 17:00:00,handball4all.hamburg.7840021,handball4all.hamburg.126991,Männer Oberliga (100)
21,Maximilian Flessau,1,0,None,HG Hamburg-Barmbek 2,2024-09-15 17:00:00,handball4all.hamburg.7840021,handball4all.hamburg.126991,Männer Oberliga (100)
33,Björn Gercken,8,1,None,HG Hamburg-Barmbek 2,2024-09-15 17:00:00,handball4all.hamburg.7840021,handball4all.hamburg.126991,Männer Oberliga (100)
34,Yannic-Andre Voß,2,1,None,HG Hamburg-Barmbek 2,2024-09-15 17:00:00,handball4all.hamburg.7840021,handball4all.hamburg.126991,Männer Oberliga (100)
4,Robin Samusch,4,2,yellow,Ahrensburger TSV,2024-09-15 17:45:00,handball4all.hamburg.7840011,handball4all.hamburg.126991,Männer Oberliga (100)
5,Mario Reuter,5,2,None,Ahrensburger TSV,2024-09-15 17:45:00,handball4all.hamburg.7840011,handball4all.hamburg.126991,Männer Oberliga (100)
6,Florian Bleyl,0,0,None,Ahrensburger TSV,2024-09-15 17:45:00,handball4all.hamburg.7840011,handball4all.hamburg.126991,Männer Oberliga (100)
7,Markus Fraikin,12,0,None,Ahrensburger TSV,2024-09-15 17:45:00,handball4all.hamburg.7840011,handball4all.hamburg.126991,Männer Oberliga (100)
8,Peter Ubert,5,1,None,Ahrensburger TSV,2024-09-15 17:45:00,handball4all.hamburg.7840011,handball4all.hamburg.126991,Männer Oberliga (100)
11,Philipp Lamprecht,2,0,None,Ahrensburger TSV,2024-09-15 17:45:00,handball4all.hamburg.7840011,handball4all.hamburg.126991,Männer Oberliga (100)
12,Christian Lamprecht,0,0,None,Ahrensburger TSV,2024-09-15 17:45:00,handball4all.hamburg.7840011,handball4all.hamburg.126991,Männer Oberliga (100)
13,Norbert Schrader,0,0,None,Ahrensburger TSV,2024-09-15 17:45:00,handball4all.hamburg.7840011,handball4all.hamburg.126991,Männer Oberliga (100)
14,Jascha Deeken,5,1,None,Ahrensburger TSV,2024-09-15 17:45:00,handball4all.hamburg.7840011,handball4all.hamburg.126991,Männer Oberliga (100)
15,Daniel Schulz,0,0,None,Ahrensburger TSV,2024-09-15 17:45:00,handball4all.hamburg.7840011,handball4all.hamburg.126991,Männer Oberliga (100)
20,Luca Kuschel,1,0,None,Ahrensburger TSV,2024-09-15 17:45:00,handball4all.hamburg.7840011,handball4all.hamburg.126991,Männer Oberliga (100)
21,Jannis Maaß,0,0,None,Ahrensburger TSV,2024-09-15 17:45:00,handball4all.hamburg.7840011,handball4all.hamburg.126991,Männer Oberliga (100)
26,Christian Cornehl,0,0,None,Ahrensburger TSV,2024-09-15 17:45:00,handball4all.hamburg.7840011,handball4all.hamburg.126991,Männer Oberliga (100)
77,Bastian Blietz,3,0,None,Ahrensburger TSV,2024-09-15 17:45:00,handball4all.hamburg.7840011,handball4all.hamburg.126991,Männer Oberliga (100)
3,Valentin Schmuggerow,9,1,None,1. HC Quickborn,2024-09-15 17:45:00,handball4all.hamburg.7840011,handball4all.hamburg.126991,Männer Oberliga (100)
5,Alex Meier,1,1,yellow,1. HC Quickborn,2024-09-15 17:45:00,handball4all.hamburg.7840011,handball4all.hamburg.126991,Männer Oberliga (100)
7,Thorben Kuhlmann,6,0,None,1. HC Quickborn,2024-09-15 17:45:00,handball4all.hamburg.7840011,handball4all.hamburg.126991,Männer Oberliga (100)
13,Colin Dominique Hannig,0,0,None,1. HC Quickborn,2024-09-15 17:45:00,handball4all.hamburg.7840011,handball4all.hamburg.126991,Männer Oberliga (100)
16,Ben Kamin,0,0,None,1. HC Quickborn,2024-09-15 17:45:00,handball4all.hamburg.7840011,handball4all.hamburg.126991,Männer Oberliga (100)
17,Finn Hoyer,1,0,None,1. HC Quickborn,2024-09-15 17:45:00,handball4all.hamburg.7840011,handball4all.hamburg.126991,Männer Oberliga (100)
22,Carl-Simon Ullfors,0,0,None,1. HC Quickborn,2024-09-15 17:45:00,handball4all.hamburg.7840011,handball4all.hamburg.126991,Männer Oberliga (100)
25,Konstantin Schmuggerow,2,0,None,1. HC Quickborn,2024-09-15 17:45:00,handball4all.hamburg.7840011,handball4all.hamburg.126991,Männer Oberliga (100)
27,Bjarne Bucken,3,0,None,1. HC Quickborn,2024-09-15 17:45:00,handball4all.hamburg.7840011,handball4all.hamburg.126991,Männer Oberliga (100)
32,Peer Kurschus,2,1,None,1. HC Quickborn,2024-09-15 17:45:00,handball4all.hamburg.7840011,handball4all.hamburg.126991,Männer Oberliga (100)
39,Maurice Mannhaupt,3,0,None,1. HC Quickborn,2024-09-15 17:45:00,handball4all.hamburg.7840011,handball4all.hamburg.126991,Männer Oberliga (100)
77,Umut Erdagi,2,0,None,1. HC Quickborn,2024-09-15 17:45:00,handball4all.hamburg.7840011,handball4all.hamburg.126991,Männer Oberliga (100)
1,Matthias Worms,0,0,None,FC St. Pauli 2,2024-09-15 20:00:00,handball4all.hamburg.7840016,handball4all.hamburg.126991,Männer Oberliga (100)
4,Klaus Häfele,7,0,None,FC St. Pauli 2,2024-09-15 20:00:00,handball4all.hamburg.7840016,handball4all.hamburg.126991,Männer Oberliga (100)
6,Arne Dohren,8,0,None,FC St. Pauli 2,2024-09-15 20:00:00,handball4all.hamburg.7840016,handball4all.hamburg.126991,Männer Oberliga (100)
7,Christoph Pöllmann,6,0,None,FC St. Pauli 2,2024-09-15 20:00:00,handball4all.hamburg.7840016,handball4all.hamburg.126991,Männer Oberliga (100)
10,Benjamin Bethge,2,0,None,FC St. Pauli 2,2024-09-15 20:00:00,handball4all.hamburg.7840016,handball4all.hamburg.126991,Männer Oberliga (100)
13,Arno Holzhaus,4,0,None,FC St. Pauli 2,2024-09-15 20:00:00,handball4all.hamburg.7840016,handball4all.hamburg.126991,Männer Oberliga (100)
17,Malte Rolfs,0,0,None,FC St. Pauli 2,2024-09-15 20:00:00,handball4all.hamburg.7840016,handball4all.hamburg.126991,Männer Oberliga (100)
21,Lars Bente,0,2,None,FC St. Pauli 2,2024-09-15 20:00:00,handball4all.hamburg.7840016,handball4all.hamburg.126991,Männer Oberliga (100)
32,Alexander Enders,0,0,None,FC St. Pauli 2,2024-09-15 20:00:00,handball4all.hamburg.7840016,handball4all.hamburg.126991,Männer Oberliga (100)
33,Malte Röpcke,0,0,None,FC St. Pauli 2,2024-09-15 20:00:00,handball4all.hamburg.7840016,handball4all.hamburg.126991,Männer Oberliga (100)
77,Denisz Koleszar,1,1,None,FC St. Pauli 2,2024-09-15 20:00:00,handball4all.hamburg.7840016,handball4all.hamburg.126991,Männer Oberliga (100)
87,Maximilian Kaufmann,1,0,None,FC St. Pauli 2,2024-09-15 20:00:00,handball4all.hamburg.7840016,handball4all.hamburg.126991,Männer Oberliga (100)
99,Moritz Siggel,1,0,None,FC St. Pauli 2,2024-09-15 20:00:00,handball4all.hamburg.7840016,handball4all.hamburg.126991,Männer Oberliga (100)
2,Markus Reiser,3,0,None,TH Eilbeck,2024-09-15 20:00:00,handball4all.hamburg.7840016,handball4all.hamburg.126991,Männer Oberliga (100)
3,Steffen Cordes,3,0,None,TH Eilbeck,2024-09-15 20:00:00,handball4all.hamburg.7840016,handball4all.hamburg.126991,Männer Oberliga (100)
6,Jakobus Gäth,4,0,None,TH Eilbeck,2024-09-15 20:00:00,handball4all.hamburg.7840016,handball4all.hamburg.126991,Männer Oberliga (100)
8,Friso Dirks,1,0,None,TH Eilbeck,2024-09-15 20:00:00,handball4all.hamburg.7840016,handball4all.hamburg.126991,Männer Oberliga (100)
10,Arne Bonke,0,1,None,TH Eilbeck,2024-09-15 20:00:00,handball4all.hamburg.7840016,handball4all.hamburg.126991,Männer Oberliga (100)
11,Andreas Engel,2,0,None,TH Eilbeck,2024-09-15 20:00:00,handball4all.hamburg.7840016,handball4all.hamburg.126991,Männer Oberliga (100)
12,Lars Von Elm,0,0,None,TH Eilbeck,2024-09-15 20:00:00,handball4all.hamburg.7840016,handball4all.hamburg.126991,Männer Oberliga (100)
14,Ralf Doelves,4,0,None,TH Eilbeck,2024-09-15 20:00:00,handball4all.hamburg.7840016,handball4all.hamburg.126991,Männer Oberliga (100)
15,Alexander Weiss,1,1,None,TH Eilbeck,2024-09-15 20:00:00,handball4all.hamburg.7840016,handball4all.hamburg.126991,Männer Oberliga (100)
17,Thies Wohlleben,2,0,None,TH Eilbeck,2024-09-15 20:00:00,handball4all.hamburg.7840016,handball4all.hamburg.126991,Männer Oberliga (100)
18,Christian Harders,10,1,None,TH Eilbeck,2024-09-15 20:00:00,handball4all.hamburg.7840016,handball4all.hamburg.126991,Männer Oberliga (100)
22,Christoph Geis-Schroer,0,0,None,TH Eilbeck,2024-09-15 20:00:00,handball4all.hamburg.7840016,handball4all.hamburg.126991,Männer Oberliga (100)
31,Paul Jahnke,1,1,None,TH Eilbeck,2024-09-15 20:00:00,handball4all.hamburg.7840016,handball4all.hamburg.126991,Männer Oberliga (100)
37,Jan-Niklas Rode,2,0,None,TH Eilbeck,2024-09-15 20:00:00,handball4all.hamburg.7840016,handball4all.hamburg.126991,Männer Oberliga (100)
5,Jan Rabe,2,1,None,HT Norderstedt,2024-09-20 20:00:00,handball4all.hamburg.7840041,handball4all.hamburg.126991,Männer Oberliga (100)
10,Felix Henka,9,0,yellow,HT Norderstedt,2024-09-20 20:00:00,handball4all.hamburg.7840041,handball4all.hamburg.126991,Männer Oberliga (100)
16,Robin Noack,0,0,None,HT Norderstedt,2024-09-20 20:00:00,handball4all.hamburg.7840041,handball4all.hamburg.126991,Männer Oberliga (100)
17,Frederik Gadeberg,2,0,None,HT Norderstedt,2024-09-20 20:00:00,handball4all.hamburg.7840041,handball4all.hamburg.126991,Männer Oberliga (100)
18,Max Turkat,5,1,None,HT Norderstedt,2024-09-20 20:00:00,handball4all.hamburg.7840041,handball4all.hamburg.126991,Männer Oberliga (100)
20,Jesko Sauerland,1,1,None,HT Norderstedt,2024-09-20 20:00:00,handball4all.hamburg.7840041,handball4all.hamburg.126991,Männer Oberliga (100)
22,Jarik Teegen,3,0,None,HT Norderstedt,2024-09-20 20:00:00,handball4all.hamburg.7840041,handball4all.hamburg.126991,Männer Oberliga (100)
23,Jannik Genz,2,0,None,HT Norderstedt,2024-09-20 20:00:00,handball4all.hamburg.7840041,handball4all.hamburg.126991,Männer Oberliga (100)
25,Tom Minners,6,0,None,HT Norderstedt,2024-09-20 20:00:00,handball4all.hamburg.7840041,handball4all.hamburg.126991,Männer Oberliga (100)
30,Hannes Haas,1,2,yellow,HT Norderstedt,2024-09-20 20:00:00,handball4all.hamburg.7840041,handball4all.hamburg.126991,Männer Oberliga (100)
43,Jan-Owe Hinsch,4,0,None,HT Norderstedt,2024-09-20 20:00:00,handball4all.hamburg.7840041,handball4all.hamburg.126991,Männer Oberliga (100)
57,Finn Ole Maciejewski,5,0,yellow,HT Norderstedt,2024-09-20 20:00:00,handball4all.hamburg.7840041,handball4all.hamburg.126991,Männer Oberliga (100)
85,Willow Nowacki,0,0,None,HT Norderstedt,2024-09-20 20:00:00,handball4all.hamburg.7840041,handball4all.hamburg.126991,Männer Oberliga (100)
3,Niklas Popp,0,0,None,Ahrensburger TSV,2024-09-20 20:00:00,handball4all.hamburg.7840041,handball4all.hamburg.126991,Männer Oberliga (100)
4,Robin Samusch,2,1,None,Ahrensburger TSV,2024-09-20 20:00:00,handball4all.hamburg.7840041,handball4all.hamburg.126991,Männer Oberliga (100)
